categories,deal_features,merchant,mini_info,promotion_title,rel_location,state,total_ratings,url
"Local,Health & Fitness,Natural Medicine,Acupuncture","What You'll Get,Choose Between Two Options,$24 for one acupuncture session ($49 value),$47 for two acupuncture sessions ($98 value),Acupuncture and Acupressure: Hitting the Spots,Acupuncture and its sister treatment, acupressure, have endured for centuries. Peruse our exploration of acupoint therapy to pinpoint the facts on these ancient techniques.,Despite their different names, acupuncture and acupressure rely on the same principle: the stimulation of the body to trigger natural processes. During typical treatments, licensed acupuncturists target specific bodily points by applying pressure with their hands or a dull implement (in acupressure) or inserting fine needles (for acupuncture). These points correspond to meridians, which, according to the practice’s underlying philosophy, are channels that transport life-giving energy throughout the body. By stimulating the meridians, the acupuncturist releases any blockers to this energy flow and restores the body to health.,Compared to the constantly evolving field of modern medicine, acupuncture has remained essentially unchanged for millennia. Evidence suggests that the treatment existed as far back as 5,000 years ago—the preserved mummy Ötzi the Iceman, for example, bears tattoos that correspond to classical acupuncture points. While contemporary scientific understanding has cast a new light on the body’s inner workings, acupuncture remains a popular procedure with mainstream credibility: a 2002 World Health Organization report found that acupuncture can be an effective treatment for conditions ranging from gout to certain respiratory disorders and acknowledged that “its effective rate in the treatment of chronic pain is comparable with that of morphine.”",City Acupuncture - East Village,"Limited Time Remaining!,50+ viewed today,152 Ratings",One or Two Acupuncture Sessions at City Acupuncture - East Village (Up to 52% Off),Alphabet City,New York,152 Ratings,https://www.groupon.com/deals/city-acupuncture-east-village
"Local,Automotive,Auto Repair & Maintenance,Oil Change","What You'll Get,Choose from Three Options,$24.99 for a conventional oil change ($35.99 value),$38.99 for a synthetic-blend oil change ($59.99 value),$54.99 for a full synthetic oil change ($79.99 value),A 15-minute,oil change,includes up to 5 quarts of oil, a new filter, and a maintenance check. Plus, Groupon customers will receive 15% off select preventive maintenance services.,Valvoline Instant Oil Change,With lube and service centers spread across America, Valvoline Instant Oil Change ensures that roads from coast to coast teem with automotive vigor. Certified technicians perform a roster of services, including quick in-and-out oil changes that allow motorists to arrive without an appointment and remain in their car while Valvoline oils forge a truce between metal parts. Facilities also encourage odometers to reach up to 300,000 miles with an engine-guarantee program that helps motors live long enough to see tow trucks go extinct.",Valvoline Instant Oil Change - Galena Associates,"Limited Time Remaining!,150+ viewed today,20,195 Ratings","Conventional, Synthetic Blend, or Full Synthetic Oil Change at Valvoline Instant Oil Change (Up to a $79.99 Value)",Multiple Locations,New York,"20,195 Ratings",https://www.groupon.com/deals/valvoline-instant-oil-change-47-new-york
"Local,Things To Do,Fun & Leisure,Escape Games","What You'll Get,After purchasing this deal, you will need to visit the website listed on your voucher to complete redemption.,Choose from Three Options,$27 for escape game for one ($38 value),$49 for escape game for two ($76 value),$89 for escape game for four ($152 value)",Riddle Me Out,"Limited Time Remaining!,Selling fast!,1,429 Ratings","High-Tech Escape Game for One, Two, or Four at Riddle Me Out (Up to 41% Off)",Riddle Me Out,New York,"1,429 Ratings",https://www.groupon.com/deals/riddle-me-out
"Local,Beauty & Spas,Salons,Tanning Salons","What You'll Get,Choice of:,One Airbrush Tanning Session,Two Mystic HD Spray Tanning Sessions,One Month of Unlimited Tanning in Any Bed",NY Sun Club ,"Limited Time Remaining!,100+ viewed today,343 Ratings",One Airbrush or Two Mystic HD Tanning Sessions or One Month of Unlimited Tanning at NY Sun Club (Up to 71% Off),Midtown Manhattan,New York,343 Ratings,https://www.groupon.com/deals/ny-sun-club-murray-hill-6
"Local,Things To Do,Nightlife,Movies","What You'll Get,Choose Between Two Options,A Drive-in Movie Package For Two Adults,Two adult tickets for a double feature,Two popcorns,A Drive-in Movie Package For A Family Of Four,Two adult tickets and two kids’ (ages 4-11) tickets for a double feature,Four popcorns,Please note: From May 1st to September 4th, the Groupon cannot be used on Fridays, Saturdays, and Sundays.",Warwick Drive-In Theatre,"Limited Time Remaining!,700+ viewed today,1,084 Ratings",Drive-In Double Feature with Popcorn for Two Adults or Family of Four at Warwick Drive-In Theatre(Up to 37% Off),Warwick Drive-In Theatre,New York,"1,084 Ratings",https://www.groupon.com/deals/warwick-drive-in-theatre-1
"Local,Food & Drink,Restaurants,Indian Restaurants","What You'll Get,Choose Between Two Options,$17.50 for $35 worth of Indian fusion for two,$36.50 for $50 worth of Indian fusion for four",Mausam Indian Cuisine,"Limited Time Remaining!,Up to 50% Off,640 Ratings",Indian Fusion for Two or Four at Mausam Indian Cuisine (Up to 50% Off),Mausam Indian Cuisine,New York,640 Ratings,https://www.groupon.com/deals/mausam
"Local,Beauty & Spas,Massage,Full Body Massage","What You'll Get,Choose Between Two Options,$35 for a consultation and a,massage,($220 value),$29 for a consultation and an,acupuncture session,($150 value)",Manhattan Total Health,"Limited Time Remaining!,100+ viewed today,180 Ratings",Consultation and Massage or Acupuncture Session at Manhattan Total Health (Up to 84% Off),Multiple Locations,New York,180 Ratings,https://www.groupon.com/deals/manhattan-total-health
"Local,Health & Fitness,Gyms,Health Clubs","What You'll Get,Choice of:,Three Krav Maga Classes,Six Krav Maga Classes,One Month of Unlimited Krav Maga Classes",Krav Maga Academy,"Limited Time Remaining!,Up to 50% Off,32 Ratings",Three or Six Classes or One-Month Membership at Krav Maga Academy (Up to 50%Off),Midtown Manhattan,New York,32 Ratings,https://www.groupon.com/deals/krav-maga-academy-3-7
"Local,Food & Drink,Restaurants,Pizza","What You'll Get,Choose Between Two Options,$12 for three slices and one soda, beer, or wine ($20.50 value),$32 for one pizza and four sodas, beers, or wine ($57 value),Click to see the menu",Artichoke Basille's Pizza,"Limited Time Remaining!,200+ viewed today,835 Ratings","Three Slices or One Pizza with Sodas, Beers, or Wine at Artichoke Basille's Pizza (Up to 44% Off)",Astoria,New York,835 Ratings,https://www.groupon.com/deals/artichoke-basille-s-pizza-astoria-1
"Local,Health & Fitness,Gyms,Fitness Classes","What You'll Get,Good posture makes you seem taller and more confident, just like standing on the shoulders of your arch nemesis. Show them who’s boss with this voucher.,The Deal,$35 for 5 Awareness Through Movement classes (a $125 value),Students divide their time between lying on cotton mats, sitting in chairs, and standing during classes designed to reintroduce the nervous system to the movement-related learning humans do as infants. The sessions can minimize unneeded muscle strain, improve posture, and aid in injury recovery. New students are strongly encouraged to attend basic classes. For more information, see the,class description and schedule,and,FAQs",Feldenkrais Institute of NY,"Limited Time Remaining!,20+ viewed today,358 Ratings",$35 for 5 Movement-Therapy Classes at The Feldenkrais Institute ($125 Value),Chelsea,New York,358 Ratings,https://www.groupon.com/deals/feldenkrais-institute-1
